Export;Přístroj;Sériové číslo;Model
CSV Export 25280182 2025-10-02 16-32-05;Velká plnička;25280182;W0741

Datum a čas;T1 [°C];T2 [°C];T3 [°C]
02.09.2025 16:35:00;"80,6";"78,6";"78,2"
02.09.2025 16:40:00;"80,6";"78,5";"78,2"
02.09.2025 16:45:00;"80,7";"78,5";"78,2"
02.09.2025 16:50:00;"80,7";"78,6";"78,2"
02.09.2025 16:55:00;"80,7";"78,6";"78,1"
02.09.2025 17:00:00;"80,7";"78,6";"78,1"
02.09.2025 17:05:00;"80,7";"78,6";"78,1"
02.09.2025 17:10:00;"80,7";"78,7";"78,2"
02.09.2025 17:15:00;"80,6";"78,7";"78,2"
02.09.2025 17:20:00;"80,7";"78,6";"78,2"
02.09.2025 17:25:00;"80,7";"78,6";"78,2"
02.09.2025 17:30:00;"80,8";"78,6";"78,1"
02.09.2025 17:35:00;"80,7";"78,6";"78,2"
02.09.2025 17:40:00;"80,8";"78,7";"78,2"
02.09.2025 17:45:00;"80,7";"78,7";"78,3"
02.09.2025 17:50:00;"80,8";"78,7";"78,3"
02.09.2025 17:55:00;"80,7";"78,7";"78,3"
02.09.2025 18:00:00;"80,7";"78,7";"78,2"
02.09.2025 18:05:00;"80,7";"78,6";"78,2"
02.09.2025 18:10:00;"80,7";"78,6";"78,2"
02.09.2025 18:15:00;"80,8";"78,6";"78,2"
02.09.2025 18:20:00;"80,8";"78,6";"78,2"
02.09.2025 18:25:00;"80,8";"78,5";"78,2"
02.09.2025 18:30:00;"80,8";"78,5";"78,3"
02.09.2025 18:35:00;"80,7";"78,6";"78,2"
02.09.2025 18:40:00;"80,7";"78,6";"78,2"
02.09.2025 18:45:00;"80,8";"78,3";"78,2"
02.09.2025 18:50:00;"80,8";"76,6";"77,6"
02.09.2025 18:55:00;"80,6";"76,2";"77,0"
02.09.2025 19:00:00;"79,8";"76,9";"77,0"
02.09.2025 19:05:00;"78,9";"77,2";"77,1"
02.09.2025 19:10:00;"78,4";"77,4";"77,2"
02.09.2025 19:15:00;"78,2";"77,5";"77,3"
02.09.2025 19:20:00;"78,2";"77,6";"77,4"
02.09.2025 19:25:00;"78,1";"77,8";"77,6"
02.09.2025 19:30:00;"78,1";"77,9";"77,7"
02.09.2025 19:35:00;"78,2";"77,9";"77,6"
02.09.2025 19:40:00;"78,2";"77,9";"77,7"
02.09.2025 19:45:00;"78,3";"78,0";"77,7"
02.09.2025 19:50:00;"78,3";"78,0";"77,7"
02.09.2025 19:55:00;"78,4";"78,0";"77,7"
02.09.2025 20:00:00;"78,6";"78,1";"77,8"
02.09.2025 20:05:00;"78,7";"78,0";"77,8"
02.09.2025 20:10:00;"78,7";"78,1";"77,8"
02.09.2025 20:15:00;"78,9";"78,1";"77,9"
02.09.2025 20:20:00;"79,1";"78,2";"77,9"
02.09.2025 20:25:00;"79,3";"78,2";"78,0"
02.09.2025 20:30:00;"79,4";"78,2";"78,0"
02.09.2025 20:35:00;"79,5";"78,2";"78,0"
02.09.2025 20:40:00;"79,6";"78,2";"78,0"
02.09.2025 20:45:00;"79,7";"78,2";"78,0"
02.09.2025 20:50:00;"79,7";"78,2";"78,0"
02.09.2025 20:55:00;"79,8";"78,2";"78,0"
02.09.2025 21:00:00;"79,9";"78,3";"78,0"
02.09.2025 21:05:00;"79,9";"78,3";"78,0"
02.09.2025 21:10:00;"79,9";"78,3";"78,0"
02.09.2025 21:15:00;"79,9";"78,4";"78,1"
02.09.2025 21:20:00;"79,9";"78,4";"78,1"
02.09.2025 21:25:00;"79,9";"78,4";"78,1"
02.09.2025 21:30:00;"79,8";"78,4";"78,2"
02.09.2025 21:35:00;"79,8";"78,5";"78,2"
02.09.2025 21:40:00;"79,8";"78,5";"78,1"
02.09.2025 21:45:00;"79,8";"78,5";"78,1"
02.09.2025 21:50:00;"79,7";"78,5";"78,1"
02.09.2025 21:55:00;"79,7";"78,5";"78,2"
02.09.2025 22:00:00;"79,7";"78,5";"78,2"
02.09.2025 22:05:00;"79,7";"78,5";"78,1"
02.09.2025 22:10:00;"79,6";"78,6";"78,1"
02.09.2025 22:15:00;"79,7";"78,6";"78,1"
02.09.2025 22:20:00;"79,6";"78,6";"78,1"
02.09.2025 22:25:00;"79,6";"78,6";"78,1"
02.09.2025 22:30:00;"79,6";"78,6";"78,1"
02.09.2025 22:35:00;"79,6";"78,6";"78,1"
02.09.2025 22:40:00;"79,5";"78,6";"78,1"
02.09.2025 22:45:00;"79,5";"78,5";"78,1"
02.09.2025 22:50:00;"79,6";"78,6";"78,1"
02.09.2025 22:55:00;"79,6";"78,6";"78,2"
02.09.2025 23:00:00;"79,5";"78,5";"78,2"
02.09.2025 23:05:00;"79,5";"78,6";"78,2"
02.09.2025 23:10:00;"79,5";"78,5";"78,1"
02.09.2025 23:15:00;"79,5";"78,6";"78,1"
02.09.2025 23:20:00;"79,5";"78,5";"78,1"
02.09.2025 23:25:00;"79,5";"78,5";"78,2"
02.09.2025 23:30:00;"79,5";"78,5";"78,2"
02.09.2025 23:35:00;"79,5";"78,5";"78,2"
02.09.2025 23:40:00;"79,4";"78,5";"78,2"
02.09.2025 23:45:00;"79,4";"78,5";"78,3"
02.09.2025 23:50:00;"79,4";"78,5";"78,3"
02.09.2025 23:55:00;"79,4";"78,5";"78,2"
03.09.2025 0:00:00;"79,4";"78,5";"78,2"
03.09.2025 0:05:00;"79,4";"78,5";"78,2"
03.09.2025 0:10:00;"79,4";"78,5";"78,2"
03.09.2025 0:15:00;"79,4";"78,5";"78,2"
03.09.2025 0:20:00;"79,4";"78,5";"78,1"
03.09.2025 0:25:00;"79,4";"78,5";"78,1"
03.09.2025 0:30:00;"79,3";"78,5";"78,1"
03.09.2025 0:35:00;"79,3";"78,5";"78,1"
03.09.2025 0:40:00;"79,3";"78,6";"78,2"
03.09.2025 0:45:00;"79,3";"78,5";"78,1"
03.09.2025 0:50:00;"79,3";"78,5";"78,1"
